#{"t_start": 1529023467.1323388, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,757,38.103645
-21.0,762,65.695165
-21.0,761,93.303076
-20.0,878,125.440683
-21.0,819,155.701987
-20.0,920,190.008392
-20.0,852,221.352384
-19.0,974,257.324146
-20.0,839,288.52986
-20.0,963,324.513148
-19.0,1115,365.503453
-20.0,896,399.042946
-20.0,929,433.823231
-19.0,984,470.370326
-19.0,981,505.418198
-15.0,1465,559.006648
-21.0,929,591.815944
-20.0,916,625.100431
-19.0,1435,676.89535
-18.0,1311,725.101479
-20.0,1412,776.218379
-7.0,2330,859.511421
-12.0,2106,936.602082
-7.0,2441,1026.502456
-4.0,2710,1126.919596
15.0,2008,1199.200034
-1.0,3039,1309.605356
16.0,1852,1376.801183
19.0,2110,1445.309971
20.0,2004,1506.323366
19.0,1633,1557.199794
15.0,2333,1624.002522
19.0,2052,1697.603811
20.0,2001,1767.425544
19.0,2051,1836.601854
18.0,2230,1917.722956
12.0,2461,2007.694093
20.0,1993,2080.221875
17.0,2179,2159.903765
20.0,1566,2217.226687
17.0,2272,2293.808727
20.0,1565,2348.314575
20.0,2123,2418.717381
18.0,2225,2497.704021
20.0,1993,2564.326045
17.0,2182,2641.015559
16.0,1904,2710.429172
20.0,1565,2767.523758
20.0,2001,2839.905458
20.0,1590,2898.821873
19.0,1810,2960.52744
20.0,2004,3029.794266
20.0,2004,3096.311252
19.0,2142,3172.723588
20.0,2086,3248.923701
19.0,2042,3324.113617
18.0,2142,3402.1266
17.0,2122,3479.609918
19.0,2164,3542.915128
11.0,3028,3639.003023
15.0,2347,3712.203896
20.0,1561,3762.418991
20.0,2064,3827.330641
20.0,2003,3889.726925
20.0,1622,3941.323042
20.0,1657,3993.80839
20.0,2793,4081.412309
20.0,1997,4144.222913
19.0,2880,4234.614187
19.0,2870,4324.502823
18.0,2954,4423.89556
19.0,2914,4531.519713
20.0,2040,4607.306744
19.0,2082,4684.702502
8.0,3357,4809.923892
20.0,2070,4886.606277
18.0,3009,5000.118039
18.0,2920,5108.525349
17.0,2299,5195.442577
21.0,1965,5268.894558
20.0,2061,5348.012074
