#{"t_start": 1528320545.6180832, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,958,11.61629
-21.0,900,17.373588
-21.0,791,22.731829
-19.0,1022,29.34142
-19.0,1055,36.825205
-21.0,1177,44.074445
-20.0,1160,51.224907
-21.0,878,56.540252
-20.0,1035,63.864524
-21.0,825,69.276846
-21.0,820,74.146999
-20.0,918,79.857267
-20.0,912,86.115962
-21.0,962,93.585094
-21.0,882,100.319049
-20.0,961,107.758491
-20.0,875,114.674311
-20.0,832,121.489422
-21.0,930,128.555945
-21.0,842,135.018294
-20.0,912,142.232157
-21.0,868,148.662356
-21.0,874,155.244585
-20.0,1066,163.729156
-21.0,911,170.953432
-20.0,942,178.204407
-20.0,1003,186.278517
-21.0,833,192.663541
-21.0,783,198.713083
-21.0,917,206.332999
-20.0,925,213.434112
-21.0,758,219.166298
-21.0,821,225.292252
-21.0,913,232.215513
-20.0,839,238.81974
-21.0,776,245.025962
-21.0,850,251.545062
-21.0,819,258.520173
-20.0,924,266.011702
-19.0,1140,275.193678
-20.0,836,281.551763
-21.0,849,288.005941
-20.0,900,294.674182
-20.0,859,300.857133
-21.0,777,306.510921
-21.0,846,312.78996
-20.0,834,318.94163
-21.0,970,326.042591
-21.0,882,332.939379
-21.0,777,338.869828
-21.0,776,344.81712
-20.0,991,352.338979
-20.0,1080,360.484857
-20.0,958,367.350458
-16.0,1278,376.544359
-20.0,899,383.126907
-21.0,761,389.044914
-21.0,818,395.056888
-21.0,820,401.23992
-20.0,868,407.478012
-21.0,817,413.670427
-21.0,898,420.110778
-21.0,877,426.574486
-21.0,886,432.96521
-20.0,863,439.246872
-20.0,921,445.974066
-21.0,779,451.987927
-20.0,897,458.515214
-21.0,894,465.101023
-19.0,1025,472.534359
-20.0,978,479.611484
-21.0,836,486.245009
-19.0,1010,493.828138
-20.0,863,500.180557
-20.0,1051,508.026184
-21.0,1005,515.597194
-21.0,825,521.873397
-21.0,1057,529.321157
-19.0,976,536.350137
-20.0,900,542.935066
-20.0,831,548.711226
-21.0,837,554.931051
-18.0,1091,562.692088
-21.0,823,568.491616
-21.0,819,574.678408
-21.0,777,580.316917
-21.0,853,586.600122
-21.0,939,593.45
-21.0,942,599.918112
-21.0,759,605.445467
-21.0,795,611.065023
-21.0,960,618.147192
-21.0,820,624.079354
-20.0,1006,631.792918
-21.0,781,637.64984
-21.0,1001,645.339949
-20.0,967,652.640716
-21.0,886,659.079625
-21.0,870,665.553409
-20.0,973,672.820707
-21.0,759,678.377979
-21.0,851,684.373811
-21.0,1029,691.947945
-21.0,910,698.516358
-20.0,899,705.209786
-21.0,822,711.668625
-20.0,986,719.230731
-21.0,907,726.337398
-19.0,1117,735.036835
-20.0,978,742.724345
-20.0,1120,751.557486
-20.0,967,759.531247
-21.0,900,766.815616
-20.0,854,773.767257
-19.0,1115,782.994732
-19.0,1074,791.422979
-21.0,822,797.91662
-21.0,1192,807.904047
-20.0,916,815.019444
-21.0,821,821.261428
-18.0,1209,830.670595
-21.0,820,836.845605
-21.0,822,843.244151
-20.0,836,849.918136
-21.0,968,857.645183
-20.0,891,864.632453
-20.0,859,871.693584
-20.0,926,878.59632
-21.0,823,884.746771
-20.0,895,891.611595
-20.0,839,897.794124
-20.0,955,905.563775
-21.0,899,912.506945
-20.0,926,919.353622
-21.0,803,926.013869
-21.0,910,933.807792
-19.0,1176,943.787471
-19.0,995,952.050389
-21.0,1029,960.812477
-20.0,1007,969.354136
-20.0,1244,980.152714
-21.0,934,987.763651
-21.0,1181,997.472773
-21.0,842,1004.797794
-21.0,853,1011.862475
-20.0,1034,1020.707283
-21.0,1172,1030.766292
-21.0,853,1038.014803
-21.0,854,1045.407963
-21.0,911,1053.442234
-20.0,1017,1062.13859
-20.0,979,1070.759943
-17.0,1226,1081.339719
-20.0,840,1088.811744
-21.0,846,1095.092204
-20.0,925,1101.983914
-21.0,1004,1108.848291
-20.0,896,1115.264123
-20.0,1048,1123.616194
-20.0,863,1129.495863
-20.0,839,1135.71941
-21.0,822,1141.595083
-20.0,990,1148.738378
-20.0,840,1155.12363
-20.0,978,1162.343891
-19.0,1046,1170.359869
-21.0,947,1177.814702
-21.0,910,1184.686972
-21.0,818,1190.816974
-21.0,1020,1198.788443
-19.0,981,1206.492517
-19.0,1080,1214.256712
-21.0,851,1220.42109
-20.0,924,1227.106708
-19.0,1072,1234.894815
-20.0,975,1242.3047
-21.0,860,1248.645153
-21.0,907,1255.506759
-21.0,953,1262.486134
-20.0,954,1269.707784
-20.0,913,1276.548279
-21.0,881,1283.204216
-21.0,875,1289.524483
-21.0,969,1296.86297
-20.0,984,1304.179537
-21.0,905,1310.778103
-20.0,1020,1318.442235
-20.0,1023,1326.145222
-20.0,983,1333.495771
-21.0,819,1339.747877
-21.0,968,1346.900593
-21.0,1010,1354.436918
-21.0,847,1360.613931
-21.0,970,1367.696897
-18.0,1088,1375.956187
-19.0,1091,1383.860819
-17.0,1149,1392.21631
-18.0,1349,1402.618675
-21.0,899,1409.563703
-20.0,1215,1418.181424
-20.0,983,1425.490284
-20.0,1078,1433.266676
-21.0,900,1439.891149
-18.0,1184,1449.012811
-18.0,1207,1457.942992
-21.0,1002,1465.628352
-19.0,1124,1474.142997
-20.0,871,1480.446772
-19.0,1261,1489.785764
-17.0,1180,1498.724462
-16.0,1363,1509.165908
-18.0,1084,1516.84586
-18.0,1319,1526.601948
-19.0,1013,1533.99822
-20.0,1030,1541.648213
-21.0,1075,1549.448337
-21.0,1101,1557.738456
-18.0,1096,1566.044189
-20.0,1195,1575.153791
-20.0,1246,1584.26036
-19.0,1016,1592.089968
-20.0,1141,1600.584109
-20.0,1307,1610.097671
-19.0,1066,1618.379953
-21.0,961,1625.48675
-19.0,933,1632.322081
-18.0,1180,1641.739083
-20.0,960,1648.950859
-18.0,1233,1658.101357
-20.0,1192,1666.904351
-15.0,1524,1678.321708
-19.0,1109,1686.531439
-19.0,1204,1695.93144
