#{"t_start": 1529023483.009606, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,818,37.29067
-21.0,819,70.704957
-20.0,1138,114.514914
-20.0,972,151.80731
-21.0,820,180.589099
-21.0,818,211.005047
-21.0,824,241.024369
-20.0,920,275.214238
-21.0,938,312.397116
-21.0,853,344.909398
-21.0,779,374.988216
-20.0,901,408.200921
-21.0,776,438.815932
-20.0,837,471.701212
-20.0,1005,510.900929
-19.0,909,546.494549
-21.0,881,580.000655
-21.0,1060,622.814806
-21.0,821,654.892422
-21.0,902,688.616306
-21.0,776,717.988472
-20.0,918,754.824998
-20.0,864,788.962438
-19.0,1086,831.189996
-21.0,889,867.192739
-21.0,833,900.189931
-20.0,920,936.690205
-20.0,1075,978.799103
-20.0,842,1011.681008
-21.0,786,1042.790653
-21.0,907,1077.412656
-21.0,819,1110.439595
-20.0,905,1144.804622
-20.0,955,1182.396343
-20.0,979,1220.60151
-21.0,845,1253.602854
-21.0,881,1287.394111
-19.0,925,1323.003611
-20.0,975,1361.988696
-20.0,842,1395.191938
-19.0,1034,1436.01007
-21.0,876,1470.994366
-20.0,866,1505.089716
-21.0,908,1539.710735
-20.0,952,1575.693861
-20.0,924,1613.254303
-20.0,917,1649.009841
-18.0,1113,1693.920243
-20.0,981,1734.113919
-21.0,836,1766.70607
-21.0,865,1801.585352
-21.0,826,1835.089907
-19.0,1085,1878.510791
-19.0,976,1917.075353
-21.0,782,1948.707568
-21.0,849,1981.791782
-20.0,1038,2023.123674
-21.0,956,2061.540886
-21.0,869,2095.805433
-19.0,1036,2137.34729
-20.0,882,2172.139548
-19.0,990,2209.510113
-20.0,866,2243.431223
-21.0,822,2275.90173
-20.0,921,2312.991485
-19.0,1174,2359.016618
-20.0,1033,2400.103563
-18.0,1129,2444.446871
-21.0,838,2477.68959
-20.0,904,2514.225934
-21.0,909,2551.503819
-21.0,791,2581.590677
-20.0,986,2621.723923
-21.0,852,2657.388169
-21.0,927,2692.991725
-20.0,978,2728.481123
-20.0,1079,2770.301436
-20.0,839,2804.89101
-21.0,849,2840.181855
-21.0,815,2874.116416
-21.0,818,2908.05496
-21.0,817,2942.392262
-20.0,839,2977.202143
-21.0,791,3010.753799
-19.0,1112,3057.590868
-19.0,1030,3098.72893
-20.0,947,3137.711643
-21.0,819,3172.369326
-21.0,779,3204.791438
-21.0,879,3240.823239
-20.0,915,3280.29282
-21.0,883,3317.292686
-19.0,1069,3363.98288
-21.0,820,3399.301834
-21.0,945,3441.681128
-20.0,997,3484.986031
-20.0,917,3528.118515
-21.0,790,3564.10587
-21.0,1034,3611.512853
-21.0,777,3648.58163
-20.0,944,3691.509141
-21.0,825,3733.601904
-21.0,892,3775.116384
-21.0,822,3815.489307
-21.0,868,3857.181366
-20.0,924,3903.392975
-20.0,1047,3951.821865
-21.0,880,3993.72515
-21.0,940,4037.414031
-21.0,820,4079.715906
-21.0,883,4128.488472
-21.0,1028,4183.014487
-21.0,849,4224.909534
-21.0,938,4272.818208
-20.0,966,4322.990961
-20.0,1078,4375.922629
-21.0,781,4417.48834
-21.0,902,4462.52358
-20.0,914,4511.113863
-20.0,1021,4564.59761
-21.0,821,4607.488158
-20.0,1156,4669.293
-21.0,823,4713.888065
-21.0,819,4757.681099
-20.0,1036,4809.900143
-21.0,845,4858.004283
-21.0,885,4901.599499
-19.0,935,4951.091646
-21.0,879,4995.10886
-20.0,1018,5046.660221
-20.0,839,5087.801045
-20.0,955,5135.888283
-21.0,816,5175.782072
-21.0,960,5222.398637
-20.0,1035,5276.142432
-21.0,820,5317.989595
