#{"t_start": 1529023483.2945101, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,820,37.048655
-20.0,833,71.015879
-21.0,819,103.056352
-20.0,974,140.714057
-21.0,823,170.22986
-20.0,987,206.718626
-21.0,823,236.818093
-21.0,788,265.507071
-18.0,1061,306.226273
-21.0,918,342.221143
-19.0,1004,380.706865
-21.0,941,415.448608
-21.0,792,446.521185
-20.0,986,485.991628
-20.0,837,517.207693
-19.0,974,555.810154
-19.0,931,592.019069
-19.0,988,631.39732
-20.0,910,666.63569
-21.0,913,700.979769
-21.0,851,733.805341
-21.0,910,770.196155
-21.0,846,803.472309
-20.0,894,838.309121
-21.0,852,873.10456
-19.0,1054,914.418333
-21.0,837,946.925294
-20.0,869,981.314832
-19.0,1046,1023.859415
-20.0,1012,1062.897763
-21.0,845,1095.21886
-18.0,1196,1141.826923
-20.0,839,1174.796458
-21.0,819,1206.527027
-19.0,952,1244.005395
-18.0,1326,1294.50834
-21.0,791,1325.041582
-20.0,839,1359.305888
-20.0,958,1396.428295
-18.0,1148,1442.324298
-21.0,819,1474.500872
-20.0,923,1511.304772
-18.0,1053,1550.928527
-20.0,1022,1590.529897
-20.0,901,1627.425058
-20.0,1006,1667.429034
-21.0,905,1702.944618
-20.0,975,1742.722684
-19.0,964,1781.304139
-20.0,1180,1829.419727
-21.0,780,1860.622576
-20.0,902,1895.520639
-20.0,1165,1941.845184
-21.0,928,1979.12561
-20.0,926,2015.518624
-21.0,836,2048.321433
-21.0,847,2083.210134
-21.0,778,2113.33749
-21.0,911,2150.525679
-20.0,892,2182.919318
-19.0,1031,2224.342704
-20.0,929,2260.607609
-20.0,893,2296.726693
-20.0,982,2335.331411
-21.0,777,2364.858212
-21.0,823,2398.849399
-21.0,821,2430.962103
-21.0,780,2461.40942
-21.0,820,2495.233092
-19.0,1059,2537.517956
-21.0,867,2571.328191
-20.0,902,2608.016652
-21.0,848,2642.617622
-21.0,1002,2683.505728
-18.0,1019,2720.456191
-21.0,871,2752.828769
-20.0,993,2791.975922
-21.0,909,2830.329078
-20.0,902,2867.426823
-20.0,955,2907.770344
-19.0,1025,2950.515889
-20.0,1368,3008.59838
-20.0,990,3049.916135
-21.0,894,3085.242557
-20.0,1136,3132.218652
-21.0,930,3171.696668
-21.0,822,3205.709008
-20.0,961,3246.018508
-20.0,974,3287.607062
-20.0,908,3325.626038
-20.0,946,3368.122915
-18.0,1042,3412.915246
-19.0,1064,3459.497628
-21.0,1028,3504.276665
-21.0,987,3550.138055
-20.0,1197,3605.065585
-21.0,878,3647.931686
-21.0,874,3688.59633
-21.0,909,3733.606757
-21.0,823,3772.630695
-20.0,981,3821.519637
-21.0,1003,3870.719292
-20.0,926,3914.478381
-20.0,973,3959.22862
-20.0,1097,4011.903662
-19.0,966,4058.428528
-21.0,838,4104.925373
-18.0,1201,4168.905313
-20.0,927,4215.140992
-20.0,973,4263.296916
-21.0,821,4304.854493
-19.0,1085,4362.015604
-19.0,1181,4419.901761
-21.0,901,4469.096313
-21.0,809,4510.316492
-20.0,1078,4565.725993
-21.0,823,4608.608231
-21.0,989,4660.906896
-21.0,821,4705.324239
-20.0,1267,4775.606675
-21.0,886,4819.375184
-20.0,897,4868.727983
-18.0,1129,4923.496732
-17.0,1132,4984.017123
-20.0,836,5025.939148
-21.0,930,5073.603854
-21.0,818,5114.634114
-20.0,918,5157.909754
-21.0,845,5200.227807
-21.0,880,5243.929352
-19.0,959,5294.625577
-19.0,1102,5347.496448
