#{"t_start": 1528286050.0410109, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,757,34.603709
-20.0,945,69.613972
-21.0,782,98.802942
-21.0,780,127.424444
-20.0,1110,167.996961
-20.0,925,201.794296
-21.0,818,232.30477
-21.0,789,261.395897
-21.0,876,293.70856
-21.0,1047,332.322166
-19.0,972,368.1157
-20.0,1105,409.7808
-20.0,1216,454.612942
-20.0,916,487.640038
-19.0,1091,528.209435
-18.0,1183,572.194611
-19.0,1497,627.021561
-21.0,1597,685.310768
-21.0,1459,740.286031
-13.0,2070,816.396415
-17.0,1889,886.879658
-6.0,2747,988.799143
-13.0,2045,1064.295281
-1.0,3315,1188.108182
-7.0,2777,1291.014032
14.0,2082,1368.296725
18.0,2149,1447.99997
20.0,2003,1522.707431
16.0,2315,1607.894016
15.0,2237,1690.828102
19.0,1634,1750.796422
18.0,1775,1816.794949
19.0,1636,1877.705283
20.0,2004,1951.304628
20.0,1615,2012.305606
15.0,2210,2093.901294
19.0,1601,2153.219491
17.0,2159,2233.322429
14.0,2578,2329.42653
20.0,1991,2402.293392
20.0,1615,2463.794137
15.0,2022,2538.117131
20.0,2003,2613.018975
19.0,2182,2693.719856
20.0,2001,2768.519295
20.0,1566,2825.693707
14.0,2391,2915.098169
20.0,1593,2974.091017
