#{"t_start": 1528343109.0736606, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,922,12.489595
-21.0,805,18.512773
-20.0,888,25.650323
-20.0,836,31.972344
-20.0,870,38.763326
-20.0,863,45.398766
-21.0,781,51.370481
-18.0,1200,61.532224
-21.0,820,68.909252
-21.0,954,76.753274
-21.0,820,84.276644
-20.0,958,92.874385
-20.0,855,100.442212
-21.0,823,107.618377
-21.0,1034,116.800002
-20.0,837,124.804616
-21.0,847,132.058126
-20.0,899,140.357237
-21.0,819,147.663869
-20.0,838,154.967639
-21.0,818,162.577539
-21.0,818,169.724088
-19.0,1070,179.199707
-20.0,992,187.867574
-21.0,915,195.914323
-20.0,1038,205.266439
-19.0,1071,215.404503
-21.0,914,223.477301
-21.0,823,230.521209
-19.0,1200,241.702511
-21.0,908,249.799258
-21.0,1051,259.045546
-19.0,1189,269.625642
-20.0,1154,279.72499
-19.0,1084,289.396758
-21.0,807,296.545878
-20.0,867,304.184168
-20.0,1156,314.793857
-20.0,928,323.089893
-20.0,928,331.065979
-20.0,960,339.663086
-20.0,964,348.541774
-19.0,1248,360.252401
-21.0,943,368.233463
-20.0,1096,378.421069
-20.0,839,385.967804
-19.0,1073,395.990647
-19.0,979,404.473481
-21.0,904,412.571652
-21.0,820,420.246492
-21.0,959,428.360096
-20.0,879,436.441482
-21.0,852,444.120889
-21.0,923,452.310439
-21.0,911,460.629699
-19.0,1137,470.498407
-19.0,954,478.816495
-20.0,1271,490.065329
-21.0,1067,499.351178
-20.0,1051,508.524811
-21.0,1273,519.585505
-21.0,1000,527.93728
-21.0,839,535.302887
-20.0,1035,543.752144
-20.0,1096,552.88038
-17.0,1454,564.802001
-20.0,1322,575.898929
-19.0,1080,585.128841
-17.0,1684,599.306802
-17.0,1623,612.683228
-19.0,1318,624.150698
-21.0,1486,636.773567
-18.0,1270,647.440325
-21.0,1082,656.744057
-19.0,1683,671.132902
-18.0,1532,684.205382
-19.0,1983,700.679841
-19.0,1721,715.574302
-21.0,2179,733.742511
-18.0,2023,750.447572
-19.0,1909,766.706082
-17.0,1549,779.702004
-17.0,2840,804.228794
-20.0,2345,825.047515
-21.0,2454,846.920846
-21.0,2370,869.015805
-19.0,3016,896.617567
-19.0,2446,919.13782
-21.0,2663,943.149455
-3.0,5528,991.477406
-2.0,5952,1042.8168
-15.0,4557,1083.134626
-19.0,4889,1126.413587
-8.0,4979,1170.416601
-5.0,5158,1218.031557
7.0,4655,1259.81464
-3.0,5556,1309.129308
-18.0,3806,1343.460167
2.0,6006,1397.029184
-13.0,4986,1442.077155
2.0,6040,1496.009737
-20.0,3412,1526.484668
8.0,4447,1565.975914
-7.0,4426,1605.402669
7.0,4382,1643.344744
-2.0,4605,1683.607035
-15.0,3836,1717.21751
-7.0,4751,1758.821767
-13.0,3947,1793.332929
-5.0,4678,1835.069145
13.0,3677,1866.793569
-4.0,5002,1910.591861
4.0,5083,1955.377311
-3.0,5257,2002.282312
-9.0,5167,2047.573277
13.0,4531,2103.496938
-2.0,5607,2153.945371
7.0,5044,2199.693056
11.0,3346,2230.167934
3.0,6814,2292.014639
-6.0,5219,2339.659643
-5.0,6344,2397.603667
10.0,4805,2441.568313
13.0,5684,2494.569449
11.0,4728,2538.423882
14.0,3485,2571.759627
19.0,3095,2600.966256
15.0,3383,2632.244437
17.0,2890,2659.619752
14.0,3882,2696.515274
19.0,2613,2721.562615
19.0,2683,2746.243012
19.0,2825,2773.765912
20.0,2646,2798.590004
20.0,2622,2823.941423
18.0,2779,2850.796673
20.0,2450,2874.209998
21.0,2690,2899.811334
19.0,2692,2925.57218
18.0,2954,2953.10192
18.0,3452,2985.608911
19.0,3000,3013.527997
21.0,2629,3037.80659
17.0,2653,3062.883297
21.0,2472,3085.865451
19.0,2985,3114.622775
20.0,2468,3138.371001
17.0,2880,3166.396355
20.0,2423,3189.462576
18.0,2558,3213.939484
20.0,2713,3240.685402
20.0,2035,3259.842946
18.0,3008,3288.79599
20.0,2707,3314.640559
19.0,2435,3338.064402
18.0,3516,3371.768568
18.0,2679,3396.974222
20.0,2185,3418.272076
20.0,2915,3446.090443
20.0,2649,3472.125476
16.0,3221,3503.715654
21.0,1997,3523.481821
18.0,2270,3545.932032
20.0,2722,3573.074106
21.0,2813,3601.202504
21.0,2003,3626.609021
21.0,1998,3646.915238
21.0,1999,3666.576597
17.0,2847,3695.682767
20.0,2708,3723.1564
18.0,3018,3754.832738
16.0,2156,3779.482887
17.0,3201,3815.649565
