#{"t_start": 1528301682.467658, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,1086,47.294802
-21.0,761,76.598758
-19.0,1143,120.493526
-20.0,983,158.603011
-19.0,1040,199.202315
-21.0,884,233.79223
-20.0,894,268.39277
-21.0,852,302.091888
-20.0,1065,343.593659
-20.0,1002,382.593293
-21.0,847,415.710928
-21.0,995,454.495446
-20.0,1010,493.605716
-19.0,1058,534.383652
-20.0,1018,574.115976
-18.0,1080,616.395382
-20.0,1298,666.885317
-18.0,1270,717.195101
-18.0,1480,774.405917
-19.0,1380,828.415212
-17.0,1861,900.389552
-12.0,2201,985.895116
-10.0,2157,1069.593732
-10.0,2241,1155.896768
-8.0,2413,1249.301125
17.0,1907,1323.605083
15.0,2300,1412.907267
18.0,2117,1495.691151
4.0,3359,1626.192973
15.0,2281,1714.701195
20.0,1563,1775.311556
16.0,2308,1864.996484
20.0,2084,1946.891577
19.0,1636,2010.52328
20.0,1566,2071.392785
19.0,1630,2134.008272
18.0,1688,2199.089989
19.0,1629,2262.010451
19.0,2094,2343.919546
18.0,2120,2426.791473
20.0,2006,2505.211795
19.0,1669,2569.906231
18.0,2177,2654.796011
20.0,1562,2715.492979
15.0,2291,2803.993773
18.0,1692,2869.641114
17.0,1806,2939.518931
19.0,2044,3016.809474
16.0,1972,3091.610191
11.0,3446,3221.325672
20.0,1563,3279.525377
19.0,1630,3340.719213
20.0,1686,3403.61568
18.0,2079,3481.895602
21.0,1592,3542.490892
19.0,1618,3603.761996
17.0,2340,3690.933417
6.0,3351,3818.514105
16.0,2275,3904.695696
20.0,2002,3980.998594
20.0,1634,4043.307568
20.0,2001,4120.012678
20.0,1567,4175.221518
