#{"t_start": 1528301682.0583026, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1088,47.762125
-20.0,876,81.133827
-19.0,936,117.60511
-20.0,993,156.112641
-20.0,872,190.203612
-20.0,910,225.834541
-20.0,1004,264.916402
-20.0,955,301.529497
-20.0,834,334.902642
-19.0,1130,378.305358
-21.0,942,415.504826
-21.0,813,447.123668
-20.0,885,481.214848
-19.0,1156,525.992903
-21.0,1037,566.488875
-20.0,926,602.530719
-17.0,1328,654.616719
-19.0,1053,695.792895
-19.0,1104,738.50269
-19.0,1406,793.41459
-18.0,1692,859.613671
-18.0,1784,928.830662
-8.0,2466,1024.624359
-8.0,2565,1123.614364
-16.0,2002,1201.333176
4.0,3203,1325.223776
10.0,3018,1442.814339
18.0,1721,1510.021631
20.0,2003,1587.901619
14.0,2361,1679.006953
18.0,1714,1745.91071
19.0,2084,1826.428297
20.0,2003,1905.017812
20.0,2001,1983.016091
12.0,2553,2081.913778
19.0,2069,2161.636131
18.0,1668,2226.82366
19.0,2069,2306.903717
20.0,1993,2384.427278
20.0,1566,2445.500412
19.0,1633,2509.513996
20.0,1565,2570.504234
20.0,2001,2648.203706
18.0,2157,2732.598801
20.0,2099,2813.729797
19.0,2043,2893.303013
20.0,1564,2953.028935
20.0,1565,3011.802733
20.0,2054,3089.314558
19.0,1630,3151.192563
16.0,2176,3232.607129
20.0,1994,3307.415011
20.0,2004,3382.243866
18.0,2123,3462.82544
20.0,2001,3538.700184
20.0,2006,3613.817608
18.0,2205,3696.410728
15.0,2472,3789.901952
18.0,2107,3870.998683
19.0,1656,3933.313586
15.0,2091,4012.321082
18.0,2019,4090.600682
20.0,2004,4163.920621
