#{"t_start": 1528301677.0522947, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,959,47.454046
-21.0,758,76.799846
-20.0,1068,117.820301
-21.0,942,154.613029
-21.0,816,186.712075
-21.0,963,224.021168
-21.0,941,261.008388
-20.0,1083,302.921332
-20.0,953,340.505558
-20.0,911,375.412473
-18.0,1314,427.024717
-17.0,1390,481.221183
-20.0,1129,524.699039
-20.0,913,560.533234
-21.0,871,594.093589
-19.0,1143,638.823782
-18.0,1149,684.021286
-18.0,1169,730.019741
-17.0,1338,781.409635
-20.0,1636,845.010073
-12.0,2118,927.546031
-15.0,1944,1003.014766
-6.0,2669,1106.122235
-11.0,2422,1200.300076
-1.0,3222,1324.733241
14.0,2272,1413.686949
14.0,2099,1495.121066
18.0,2088,1576.642026
20.0,1567,1636.731385
20.0,2005,1714.729452
15.0,2516,1812.810721
20.0,1991,1890.629578
19.0,2085,1972.009652
19.0,2186,2057.002017
19.0,1629,2119.90653
20.0,1997,2196.707855
12.0,2662,2300.42956
19.0,1634,2363.821867
20.0,1567,2425.000938
20.0,1561,2485.328152
20.0,2001,2563.507873
19.0,2083,2644.922217
17.0,2169,2729.330641
20.0,1994,2807.000701
17.0,1729,2873.626024
20.0,1562,2934.308229
20.0,1687,2997.722238
19.0,2083,3076.633354
18.0,1696,3140.818552
20.0,1565,3199.806808
17.0,2158,3280.141019
20.0,2003,3355.618629
18.0,1771,3422.322426
20.0,1567,3481.32265
19.0,1631,3543.209892
19.0,2088,3621.130625
20.0,2006,3696.307375
15.0,2386,3787.119013
19.0,2229,3871.525149
19.0,2082,3951.508086
20.0,2007,4027.816979
13.0,2469,4122.308379
20.0,1565,4177.807474
