#{"t_start": 1528307583.0130694, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,892,29.50117
-20.0,1024,57.608086
-21.0,764,78.835675
-21.0,764,99.826326
-21.0,946,126.306197
-21.0,1035,155.020986
-21.0,850,178.457979
-20.0,902,203.290496
-21.0,961,230.010211
-21.0,780,251.607505
-19.0,1024,280.035781
-20.0,897,305.202867
-20.0,921,330.713928
-18.0,1155,362.80455
-21.0,901,387.611812
-21.0,918,413.103493
-19.0,925,438.604404
-21.0,778,460.340392
-20.0,918,485.808402
-21.0,817,508.040647
-19.0,1042,536.299952
-21.0,1144,567.513003
-20.0,1032,595.813529
-21.0,959,622.320106
-20.0,887,646.916404
-20.0,839,669.907695
-20.0,1093,700.112393
-21.0,839,723.611005
-21.0,944,749.611173
-20.0,957,776.198369
-20.0,935,802.046137
-20.0,915,827.401224
-21.0,882,851.903858
-20.0,835,875.11649
-18.0,1178,907.942911
-20.0,936,933.798854
-21.0,841,957.305297
-20.0,838,980.611358
-21.0,785,1002.304915
-21.0,820,1024.901911
-20.0,876,1048.618228
-20.0,891,1073.122304
-20.0,893,1097.329911
-19.0,1209,1130.936131
-21.0,821,1153.633498
-20.0,953,1180.143534
-21.0,779,1201.821127
-20.0,1002,1229.733223
-20.0,955,1256.306643
-21.0,787,1277.898624
-20.0,1050,1307.004273
-21.0,841,1329.836003
-21.0,819,1352.493213
-17.0,1273,1387.128984
-20.0,1005,1414.691927
-18.0,1330,1450.809064
-19.0,978,1477.438922
-19.0,1163,1509.233072
-21.0,960,1535.215211
-21.0,1035,1563.805225
-20.0,1076,1593.590532
-19.0,966,1620.591916
-21.0,846,1644.112657
-21.0,867,1668.303037
-20.0,893,1692.71348
-20.0,833,1715.65682
-19.0,1074,1745.820631
-20.0,979,1772.905466
-20.0,929,1798.933484
-20.0,1009,1826.714725
-20.0,960,1853.640848
-21.0,960,1880.144986
-18.0,1056,1909.724021
-19.0,1102,1940.205673
-19.0,1087,1970.916736
-20.0,1065,2000.902784
-21.0,900,2025.31722
-21.0,1185,2057.706547
-19.0,1031,2085.607199
-17.0,1377,2123.514569
-18.0,1250,2157.724436
-19.0,1039,2186.121253
-16.0,1478,2227.307969
-20.0,1250,2261.800772
-13.0,1670,2308.035842
-21.0,1390,2346.520761
-18.0,1644,2392.123253
-9.0,1984,2447.107989
-12.0,2120,2505.835928
-17.0,1837,2556.802024
-10.0,2272,2619.610004
-19.0,1681,2666.412116
-17.0,1621,2710.91384
-21.0,1450,2750.991802
-18.0,1771,2799.700376
-4.0,2337,2864.322328
-20.0,1616,2908.913761
-19.0,1885,2961.003823
-6.0,2497,3030.146348
-15.0,1713,3077.326232
-19.0,1625,3122.121697
-13.0,2060,3179.011841
-1.0,2975,3261.600532
-17.0,1794,3311.520609
-8.0,2785,3389.801234
2.0,3125,3476.714452
-2.0,3185,3564.790663
3.0,3490,3658.91821
15.0,2388,3725.204049
7.0,2671,3799.432141
11.0,2778,3876.820984
11.0,2802,3955.329024
16.0,2231,4016.11477
14.0,2167,4075.736738
11.0,2866,4155.218903
15.0,2165,4216.200717
17.0,2174,4277.022331
20.0,1984,4331.243721
20.0,1563,4373.115482
18.0,1736,4420.903166
18.0,1748,4469.8029
17.0,2275,4533.390805
17.0,2340,4598.321093
19.0,2139,4658.417044
17.0,1859,4710.308958
20.0,2192,4771.30748
18.0,1749,4820.20402
11.0,2790,4896.990876
14.0,2469,4959.829863
17.0,2194,5016.301939
19.0,1693,5060.034141
21.0,2054,5113.302441
20.0,1631,5155.205082
20.0,1672,5198.001104
14.0,2869,5273.815936
19.0,1850,5323.11596
19.0,1794,5369.03858
18.0,2447,5433.295976
20.0,1614,5474.729822
