#{"t_start": 1528307582.8183248, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,853,28.51659
-21.0,851,52.006739
-20.0,927,77.693604
-21.0,838,100.757849
-21.0,911,126.210846
-21.0,966,153.006381
-18.0,1166,185.106857
-21.0,1028,213.421402
-21.0,819,236.426418
-21.0,946,262.4154
-21.0,852,286.322515
-19.0,958,313.030808
-21.0,851,336.394312
-21.0,822,359.40855
-21.0,1095,389.705911
-20.0,831,412.722047
-20.0,945,438.799123
-21.0,965,465.686637
-20.0,987,492.996286
-19.0,997,520.209671
-20.0,910,544.722007
-21.0,804,566.698335
-21.0,939,592.410837
-21.0,915,617.60796
-21.0,913,643.108619
-21.0,944,668.819034
-21.0,842,692.245056
-21.0,821,715.093044
-20.0,856,738.796084
-21.0,853,762.397464
-21.0,785,784.19542
-21.0,942,810.295137
-20.0,837,833.285678
-20.0,898,858.397648
-19.0,1045,887.392897
-21.0,908,912.712757
-21.0,844,936.009133
-21.0,926,962.000707
-21.0,763,983.198651
-21.0,821,1006.006111
-19.0,925,1031.115206
-21.0,885,1055.197452
-19.0,1069,1084.51758
-21.0,761,1105.108574
-20.0,863,1129.321761
-21.0,933,1155.107637
-19.0,1215,1189.035547
-20.0,896,1213.796831
-19.0,993,1241.615552
-18.0,1167,1273.728356
-21.0,837,1296.920447
-20.0,923,1322.186884
-21.0,785,1343.807105
-19.0,1070,1372.785338
-20.0,1110,1403.39775
-20.0,1085,1432.82059
-20.0,1158,1464.385878
-18.0,1217,1497.425577
-19.0,1033,1525.661875
-20.0,948,1551.504799
-21.0,852,1575.394409
-19.0,1011,1603.10722
-21.0,878,1627.733241
-21.0,1029,1656.406109
-20.0,1005,1684.142256
-20.0,1002,1711.603387
-20.0,944,1738.094313
-20.0,979,1765.334476
-21.0,824,1788.5049
-18.0,1132,1819.585382
-19.0,1193,1853.007142
-18.0,1253,1887.613964
-18.0,1223,1921.793992
-21.0,976,1949.297427
-19.0,1252,1984.004143
-18.0,1151,2016.21181
-18.0,1231,2049.616508
-19.0,1250,2083.710482
-17.0,1321,2120.100527
-20.0,1216,2153.31009
-20.0,1116,2183.89727
-18.0,1275,2219.09764
-19.0,1482,2260.213643
-19.0,1492,2301.710576
-16.0,1711,2348.997345
-21.0,1582,2392.904219
-12.0,1843,2443.899086
-10.0,2459,2512.10661
-15.0,1834,2563.005938
-15.0,1829,2613.594492
-5.0,2327,2678.11649
-11.0,2178,2738.295822
-9.0,2206,2798.822277
-16.0,2014,2854.727194
-20.0,1554,2897.432383
-17.0,1698,2944.307921
-8.0,2275,3007.394441
-8.0,2261,3069.615499
-13.0,2065,3126.616379
-13.0,2125,3185.21544
-13.0,1942,3239.12527
-5.0,3127,3326.220815
3.0,2864,3406.692573
-5.0,2807,3484.81565
8.0,2591,3556.408318
10.0,2543,3625.206386
7.0,3166,3711.630817
11.0,2588,3784.006037
9.0,2942,3865.994213
7.0,2745,3943.001851
8.0,3047,4025.906636
13.0,2420,4092.900684
14.0,2451,4161.223592
13.0,2521,4231.946996
7.0,2979,4314.316191
19.0,1676,4359.718095
18.0,1771,4407.730105
17.0,1766,4457.129073
16.0,2005,4513.406611
20.0,1616,4558.350461
16.0,1962,4613.201026
20.0,2002,4669.199526
16.0,1919,4722.603965
20.0,1627,4767.515909
20.0,2003,4823.807753
20.0,1990,4879.395815
19.0,1702,4922.912114
19.0,2436,4985.607208
18.0,1716,5029.485283
16.0,2059,5082.907872
20.0,2007,5134.720508
4.0,3531,5225.303754
20.0,1636,5269.298024
5.0,3269,5355.335488
18.0,2171,5412.285789
19.0,1831,5459.414883
