#{"t_start": 1528307583.1165156, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,867,28.637318
-20.0,838,51.757182
-19.0,981,78.917463
-19.0,1041,107.632195
-20.0,882,132.326385
-20.0,837,155.508614
-21.0,827,178.30431
-20.0,947,204.309629
-20.0,931,230.295591
-20.0,993,257.695264
-20.0,841,281.145887
-21.0,789,303.228561
-21.0,791,325.291022
-19.0,1074,354.920779
-21.0,879,379.221683
-20.0,919,404.819309
-21.0,778,426.210813
-20.0,982,453.522924
-21.0,1025,481.918753
-21.0,972,508.518528
-21.0,822,530.727285
-21.0,897,555.090306
-21.0,936,580.931096
-20.0,934,606.309722
-20.0,842,629.803499
-20.0,950,655.933512
-19.0,978,683.095548
-20.0,1425,722.70771
-21.0,880,747.006819
-20.0,839,770.10588
-21.0,910,795.51891
-20.0,882,819.807447
-20.0,947,846.120913
-21.0,931,871.927077
-20.0,1015,900.412085
-21.0,817,922.819323
-18.0,1123,954.107055
-19.0,1209,987.928001
-21.0,850,1011.509788
-20.0,836,1034.123696
-21.0,763,1054.816711
-21.0,839,1077.899315
-21.0,759,1098.510708
-20.0,863,1122.500901
-20.0,949,1148.701449
-21.0,819,1171.489621
-21.0,843,1194.997177
-21.0,905,1220.194065
-20.0,1015,1248.420619
-20.0,963,1274.90933
-21.0,928,1300.693912
-21.0,925,1325.906428
-21.0,804,1348.11089
-21.0,933,1373.287252
-21.0,854,1397.003367
-21.0,819,1419.108242
-20.0,1069,1448.236121
-20.0,941,1473.814397
-19.0,983,1500.689197
-20.0,840,1523.410493
-21.0,804,1545.308762
-20.0,1035,1574.199485
-19.0,1148,1605.795883
-21.0,899,1630.999481
-18.0,1160,1663.120654
-19.0,1010,1691.099166
-20.0,924,1716.588474
-20.0,837,1739.90978
-18.0,1260,1775.009381
-21.0,821,1798.028911
-21.0,903,1822.806886
-17.0,1295,1859.200439
-19.0,1166,1891.414298
-18.0,1090,1921.721007
-19.0,1120,1953.308839
-20.0,961,1979.906162
-19.0,1079,2010.120302
-18.0,1320,2046.017222
-18.0,1220,2079.304881
-20.0,1163,2111.204075
-20.0,1104,2141.500145
-19.0,1229,2175.223879
-20.0,1549,2217.835371
-16.0,1587,2261.9977
-20.0,1439,2301.907805
-14.0,1605,2346.301485
-19.0,1561,2389.612154
-14.0,1995,2444.797778
-16.0,1853,2496.189307
-10.0,2080,2553.912416
-8.0,2120,2612.598221
-14.0,1862,2664.321685
-20.0,1541,2706.706408
-17.0,1810,2756.619783
-18.0,1731,2804.316779
-15.0,2026,2860.387248
-19.0,1606,2904.647158
-5.0,2450,2972.317927
-4.0,2906,3052.796012
-3.0,2851,3131.299659
-1.0,2869,3210.632496
-3.0,2821,3289.003915
-3.0,3188,3378.208858
-9.0,2420,3446.017413
4.0,2956,3528.296722
5.0,2965,3608.919561
10.0,2960,3689.088842
2.0,3086,3775.198581
16.0,2275,3838.598546
4.0,2996,3922.215215
16.0,2413,3988.728531
20.0,2097,4045.795696
15.0,2328,4110.896128
15.0,2234,4172.613398
15.0,2011,4229.409156
14.0,2351,4294.928294
20.0,1561,4337.107173
15.0,1956,4390.142661
19.0,2106,4448.507777
17.0,1837,4500.131378
14.0,2281,4563.500012
19.0,2225,4625.906516
19.0,1634,4671.496526
18.0,1720,4719.387147
20.0,1674,4765.616335
20.0,1564,4809.518875
15.0,2061,4867.516921
20.0,2004,4919.416745
20.0,1618,4960.868689
18.0,2216,5017.832469
16.0,2724,5088.52454
20.0,2126,5143.247837
19.0,2055,5195.919178
20.0,1616,5237.305175
19.0,1750,5285.417398
19.0,2041,5338.503898
18.0,2639,5407.312355
18.0,2152,5462.933439
