#{"t_start": 1528305814.7553043, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1554,1850.289083
-17.0,1914,1865.744225
-10.0,2139,1882.804076
-19.0,1536,1895.18292
-15.0,1852,1909.740266
-20.0,1508,1921.852271
-18.0,1981,1937.285401
-19.0,1488,1949.330151
-14.0,2122,1966.224447
-17.0,1581,1978.649998
-20.0,1532,1990.671401
-16.0,2055,2007.408416
-20.0,1451,2018.906419
-20.0,1836,2033.634334
-19.0,1544,2045.683191
-11.0,2352,2064.428621
-19.0,1585,2077.01389
-19.0,1926,2092.48566
-15.0,2162,2109.812287
-19.0,1871,2124.732691
-14.0,2098,2141.668186
-16.0,2112,2158.887352
-16.0,2299,2177.878968
-18.0,2063,2195.205096
-14.0,2396,2216.174562
-13.0,2382,2236.11725
-15.0,2031,2252.16536
