#{"t_start": 1529019226.8502114, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,825,71.624984
-19.0,1171,162.414115
-21.0,888,233.530342
-20.0,837,301.02488
-21.0,804,363.31698
-21.0,840,431.332819
-19.0,999,509.3171
-21.0,788,571.808798
-21.0,912,645.625421
-21.0,854,711.506754
-20.0,831,779.562053
-21.0,914,850.94047
-21.0,968,930.105778
-20.0,859,999.827863
-21.0,852,1068.125719
-19.0,1200,1166.824373
-21.0,825,1230.4311
-21.0,826,1299.125751
-21.0,821,1364.034429
-19.0,1225,1461.741129
-20.0,893,1533.52715
-20.0,897,1603.51193
-19.0,1145,1694.33573
-20.0,839,1757.840294
-21.0,893,1826.430352
-20.0,856,1891.836872
-20.0,863,1958.207351
-20.0,872,2026.385786
-19.0,1005,2102.118863
-21.0,963,2176.716135
-19.0,993,2251.525974
-20.0,865,2318.530488
-20.0,918,2390.413742
-21.0,811,2453.306221
