#{"t_start": 1529019227.1481218, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,920,78.137106
-21.0,849,145.188238
-20.0,886,214.232934
-21.0,883,286.219206
-20.0,832,350.638383
-19.0,944,427.853635
-19.0,915,498.028197
-20.0,835,564.608696
-20.0,912,637.95778
-19.0,966,714.101934
-20.0,838,781.127483
-21.0,821,845.730192
-20.0,985,925.328752
-21.0,851,994.659959
-20.0,835,1062.541433
-20.0,1050,1149.011338
-21.0,847,1214.897768
-21.0,933,1291.724591
-21.0,869,1360.616008
-19.0,1048,1442.915939
-20.0,896,1515.999849
-21.0,776,1576.647609
-21.0,939,1652.310777
-20.0,955,1724.511814
-19.0,948,1798.050612
-20.0,897,1864.93197
-20.0,1153,1954.729962
-21.0,762,2013.558661
-20.0,919,2083.718765
-20.0,899,2152.793153
-21.0,790,2212.598508
-21.0,880,2279.83077
-21.0,883,2349.944912
-20.0,937,2422.179225
-20.0,894,2491.653543
-20.0,944,2564.450867
-18.0,1046,2645.097496
-21.0,873,2713.434739
-21.0,840,2779.206626
-21.0,880,2846.607181
-21.0,860,2914.398846
-21.0,838,2978.070264
-21.0,847,3043.616573
-21.0,845,3108.008971
-20.0,842,3172.011677
-21.0,923,3243.116258
-20.0,864,3308.731204
-21.0,847,3373.03165
-21.0,827,3437.533807
-20.0,836,3500.500133
-21.0,822,3563.640212
-21.0,819,3626.148813
-20.0,905,3695.424718
-21.0,820,3758.708116
-21.0,782,3818.318179
-21.0,868,3883.843821
-20.0,884,3954.421779
-21.0,820,4017.599685
-20.0,1042,4099.089759
-21.0,850,4166.237739
-21.0,956,4240.912753
-20.0,957,4315.242077
-20.0,835,4381.159468
-20.0,945,4456.718364
-21.0,759,4516.214572
-20.0,947,4589.420839
-20.0,885,4660.945846
-19.0,1021,4739.130403
-21.0,957,4815.521358
-21.0,816,4879.743313
-20.0,920,4952.107558
-19.0,1022,5035.033227
-19.0,1052,5118.139779
-20.0,898,5191.438461
-20.0,1036,5276.360206
-21.0,911,5352.416771
-20.0,914,5428.255232
-21.0,884,5500.909998
-20.0,836,5570.015899
-21.0,810,5636.959066
-19.0,1001,5719.734846
-19.0,1059,5807.611195
-20.0,946,5886.328353
-20.0,897,5958.733082
-21.0,820,6026.821821
-18.0,1068,6114.31208
-21.0,894,6188.47853
-21.0,818,6255.636121
-19.0,1005,6339.288344
-20.0,1004,6422.022266
-21.0,1012,6504.85497
-19.0,998,6585.462442
-21.0,876,6655.961782
-20.0,840,6724.107545
-20.0,903,6795.968376
-20.0,842,6864.772424
-21.0,820,6929.249199
-21.0,919,7001.334472
-21.0,978,7079.249917
-20.0,837,7146.423446
-20.0,958,7223.043031
-21.0,757,7283.018018
-20.0,888,7355.347823
-21.0,825,7421.6532
-21.0,822,7487.535603
-20.0,914,7562.110602
-20.0,842,7629.949216
-21.0,783,7693.649835
-20.0,868,7763.848193
-20.0,1069,7850.145743
-19.0,932,7925.631874
-20.0,836,7993.624646
-21.0,822,8060.047473
-21.0,781,8123.440088
-21.0,901,8197.406
-20.0,1076,8285.743863
-20.0,831,8353.051975
-20.0,945,8431.153418
-19.0,977,8510.356172
-20.0,918,8584.21885
-21.0,855,8653.897483
-20.0,927,8727.954666
-21.0,852,8797.687244
-20.0,867,8867.757496
-21.0,1077,8955.199328
-21.0,969,9033.477368
-18.0,1032,9115.901874
-21.0,966,9195.04957
-20.0,930,9269.333532
-19.0,1113,9359.94061
-20.0,985,9438.628857
-21.0,881,9510.171717
-21.0,861,9580.690484
-21.0,878,9651.022055
-20.0,839,9719.878674
-19.0,937,9795.860814
-20.0,927,9871.737209
-21.0,848,9943.811069
-21.0,992,10026.329015
-20.0,972,10106.196106
-20.0,898,10178.138147
-20.0,919,10253.104796
-19.0,939,10329.566424
-21.0,819,10398.231586
-20.0,841,10467.912713
-21.0,820,10535.937794
-20.0,1153,10631.799201
-21.0,848,10702.592526
-21.0,791,10768.598238
-20.0,1132,10863.864903
-20.0,904,10937.261394
-20.0,988,11017.319454
-20.0,840,11085.266378
-21.0,877,11156.544919
-20.0,920,11231.305212
-19.0,975,11309.633797
-21.0,841,11378.361494
-21.0,818,11445.637733
-21.0,840,11514.456491
-21.0,879,11586.398214
-21.0,843,11654.05088
-19.0,920,11728.659443
-21.0,880,11800.846276
-21.0,823,11868.702224
-20.0,1140,11961.897555
-20.0,920,12035.847257
-21.0,947,12115.26755
-21.0,782,12179.759189
-21.0,863,12249.03585
-18.0,988,12330.436876
-21.0,822,12398.020672
-20.0,891,12469.757414
-20.0,1156,12564.838596
-20.0,913,12640.42669
-20.0,892,12713.815902
-20.0,868,12785.642291
-21.0,849,12856.098102
-20.0,840,12924.526372
-21.0,872,12995.319678
-21.0,909,13071.313498
-20.0,1003,13153.746184
-20.0,838,13223.624722
-20.0,861,13295.74356
-19.0,1011,13380.763276
-20.0,1034,13466.269593
-20.0,915,13543.014865
-21.0,866,13614.868059
-19.0,1075,13704.298314
-21.0,879,13777.537426
-21.0,851,13847.949357
-19.0,927,13924.01744
-18.0,1118,14017.513328
-20.0,1229,14120.671437
