#{"t_start": 1529019227.1579711, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,818,69.931799
-20.0,866,138.003825
-21.0,781,198.240871
-21.0,789,263.714288
-20.0,833,329.204347
-19.0,932,403.415994
-20.0,849,469.48795
-21.0,780,530.842272
-21.0,900,604.10779
-21.0,936,677.588475
-21.0,839,745.301247
-20.0,839,811.521325
-19.0,945,885.937157
-21.0,881,958.510737
-21.0,780,1020.597881
-21.0,878,1093.405254
-21.0,828,1160.401927
-21.0,971,1236.709538
-20.0,895,1311.471184
-21.0,1126,1399.414809
-20.0,864,1469.109972
-21.0,792,1531.816679
-20.0,960,1607.002865
-21.0,778,1669.794282
-21.0,814,1731.730707
-21.0,824,1794.916231
-20.0,1106,1878.993853
-17.0,1189,1970.09486
-21.0,776,2031.03033
-21.0,880,2097.334645
-20.0,876,2165.644417
-21.0,924,2235.496548
-21.0,826,2299.109715
-21.0,1086,2383.915723
-20.0,839,2448.135968
