#{"t_start": 1529019225.5557103, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,817,71.499771
-20.0,931,145.285488
-21.0,779,205.775591
-20.0,842,274.960889
-20.0,926,347.39032
-21.0,1019,429.444636
-20.0,1040,509.198203
-20.0,835,576.222558
-18.0,1089,662.696439
-20.0,841,729.414887
-21.0,821,795.89981
-20.0,835,861.313578
-20.0,923,936.811805
-20.0,932,1012.312631
-20.0,1035,1096.622315
-20.0,1122,1186.717922
-21.0,822,1251.797977
-21.0,904,1326.203242
-21.0,776,1387.523949
-20.0,875,1457.695599
-20.0,831,1523.844417
-20.0,897,1594.190164
-20.0,842,1661.690281
-21.0,933,1732.248969
-19.0,959,1805.999582
-20.0,926,1876.034817
-19.0,996,1953.296985
-19.0,935,2026.121317
-21.0,777,2085.246561
-19.0,1094,2168.996637
-21.0,789,2229.671254
-20.0,833,2292.598471
-21.0,987,2370.221606
-20.0,942,2442.635975
-20.0,1034,2524.305243
-20.0,924,2595.135243
-21.0,780,2654.711785
-20.0,1124,2743.340262
-19.0,1000,2820.405729
-19.0,965,2895.912906
-20.0,1033,2975.037311
-20.0,835,3039.415362
-18.0,1104,3123.111523
-20.0,915,3193.489964
-20.0,913,3264.833082
-19.0,1085,3346.297567
-20.0,876,3413.502203
-21.0,801,3474.911057
-18.0,1200,3566.791345
-21.0,786,3626.408696
-21.0,883,3695.05798
-20.0,839,3758.708746
-20.0,839,3822.900409
-20.0,889,3890.356407
-21.0,893,3961.000252
-21.0,964,4034.828662
-20.0,1097,4121.999464
-20.0,1100,4207.498805
-21.0,820,4272.321746
-20.0,1107,4358.990615
-21.0,930,4432.526285
-21.0,852,4500.945197
-20.0,898,4570.20533
-20.0,837,4635.713442
-21.0,787,4699.012392
-19.0,1148,4787.719155
-21.0,791,4849.917825
-21.0,853,4917.134304
-20.0,915,4990.594689
-18.0,1031,5074.390285
-18.0,993,5153.715796
-20.0,922,5228.523812
-19.0,982,5309.920514
-19.0,1057,5396.630626
-21.0,832,5465.404995
-20.0,883,5538.730274
-20.0,958,5618.643047
-20.0,923,5694.859422
-21.0,945,5772.313691
-21.0,776,5836.756752
-20.0,1077,5925.40278
-21.0,786,5989.987953
-21.0,979,6069.830797
-21.0,940,6147.023492
-21.0,810,6214.856017
-20.0,865,6286.618829
-20.0,837,6356.304205
-20.0,1052,6442.231167
-19.0,1093,6532.718682
-21.0,897,6603.001905
-19.0,1171,6698.261151
-21.0,846,6765.860313
-20.0,960,6843.640324
-21.0,777,6905.726855
-19.0,982,6982.820569
-21.0,886,7053.809674
-21.0,787,7116.12062
-21.0,837,7183.720832
-20.0,1115,7272.735849
-20.0,839,7339.238351
-21.0,807,7405.35076
-20.0,1048,7489.204138
-21.0,943,7565.698498
-21.0,819,7631.720505
-20.0,961,7710.01257
-21.0,865,7780.141405
-20.0,1067,7866.03814
-20.0,926,7940.80896
-21.0,817,8008.058698
-19.0,1005,8089.045081
-20.0,925,8165.606292
-21.0,824,8232.452831
-20.0,896,8306.050907
-19.0,1005,8386.940061
-20.0,1024,8472.002529
-19.0,1059,8556.514416
-21.0,899,8629.855563
-21.0,781,8692.533063
-19.0,1133,8784.424777
-21.0,988,8864.692338
-20.0,899,8937.112894
-20.0,946,9014.341435
-21.0,851,9083.276743
-20.0,964,9160.900076
-21.0,808,9225.520887
-21.0,1004,9306.602572
-21.0,778,9369.750813
-21.0,787,9432.506164
-20.0,993,9513.52429
-19.0,1002,9595.582164
-17.0,1167,9689.821032
-20.0,970,9768.437277
-19.0,971,9848.021604
-21.0,909,9924.219826
-21.0,870,9997.950822
-20.0,898,10070.319295
-21.0,865,10140.413435
-21.0,875,10212.030188
-20.0,1011,10294.85716
-19.0,1058,10381.789977
-20.0,940,10459.651739
-19.0,1098,10551.045017
-19.0,1112,10644.455044
-21.0,885,10717.589956
-21.0,817,10785.805287
-20.0,911,10862.139919
-19.0,992,10942.52362
-21.0,1005,11025.516287
-21.0,821,11091.757731
-21.0,847,11159.918211
-21.0,883,11231.430589
-21.0,879,11302.890243
-20.0,1056,11388.440806
-21.0,943,11465.89042
-20.0,918,11540.147696
-21.0,807,11606.317645
-19.0,921,11680.429257
-21.0,998,11761.341057
-21.0,804,11828.020892
-21.0,908,11903.886877
-20.0,877,11974.933578
-19.0,951,12052.619118
-20.0,1276,12157.617661
-21.0,780,12220.420627
-17.0,1257,12323.929942
-20.0,887,12396.504892
-20.0,882,12468.091013
-20.0,975,12548.421146
-21.0,817,12615.531335
-20.0,957,12694.609341
-20.0,953,12773.602478
-21.0,855,12844.418
-20.0,890,12916.499212
-20.0,920,12992.004882
-19.0,964,13071.690634
-21.0,895,13145.755926
-20.0,1111,13238.911297
-21.0,850,13310.125868
-21.0,823,13378.915687
-19.0,975,13459.423544
-21.0,900,13534.400408
-21.0,853,13606.424777
-20.0,831,13674.737415
-21.0,926,13751.456762
-21.0,882,13824.036484
-21.0,928,13901.914309
-20.0,959,13981.851268
-20.0,842,14051.862205
