#{"t_start": 1528943119.1206992, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,985,24.336276
-19.0,1222,46.782182
-21.0,881,63.487486
-20.0,837,78.699535
-21.0,879,94.727461
-20.0,914,111.711427
-20.0,888,129.624907
-19.0,1025,148.688535
-18.0,1091,169.290453
-20.0,988,187.712609
-19.0,1001,206.076775
-21.0,936,223.336888
-21.0,840,239.083058
-21.0,850,254.670581
-20.0,937,272.564626
-19.0,1074,291.744583
-18.0,1161,313.733062
-19.0,1186,335.494231
-20.0,898,351.631516
-20.0,1412,377.919175
-14.0,1532,406.539256
-13.0,2127,445.597003
-17.0,1730,478.041984
-7.0,2337,521.504503
-12.0,2031,559.19916
-20.0,1382,584.636546
-1.0,2717,634.237516
8.0,2454,680.578199
-11.0,2182,720.911514
10.0,2443,766.066408
19.0,1684,796.898777
17.0,1863,831.811058
-7.0,2797,882.807992
-1.0,2870,937.029996
18.0,1683,967.797816
19.0,1626,997.614283
4.0,2899,1052.141975
20.0,1563,1080.783347
19.0,1629,1110.745042
20.0,1564,1139.878344
20.0,1563,1168.39655
