#{"t_start": 1528943119.3258162, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,759,19.84636
-21.0,880,36.601138
-19.0,920,53.110332
-21.0,925,70.425027
-20.0,835,85.991901
-19.0,1060,105.100647
-20.0,1051,125.965281
-20.0,881,142.836422
-20.0,918,159.698915
-21.0,779,174.068564
-21.0,874,190.649818
-19.0,971,208.610679
-19.0,1172,229.593085
-19.0,1079,250.271045
-21.0,839,265.619667
-20.0,915,282.968417
-19.0,1325,307.172611
-20.0,999,325.662574
-19.0,1159,346.989114
-21.0,1129,368.229778
-20.0,1387,393.321462
-14.0,1760,426.322021
-19.0,1665,457.435287
-7.0,2375,500.984689
-13.0,1784,534.180938
-16.0,1656,565.616689
-12.0,1995,602.214873
7.0,2495,647.882026
-16.0,1636,678.320212
-18.0,1556,706.909593
-15.0,1990,743.822597
-12.0,2468,789.607591
-7.0,2667,839.015431
11.0,2332,881.867654
1.0,2940,937.148486
19.0,1631,967.023054
17.0,1762,999.733712
19.0,1625,1029.982909
20.0,1563,1059.045404
12.0,2381,1102.928243
11.0,2610,1151.136562
20.0,1990,1188.332421
