#{"t_start": 1528943118.5924444, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,758,20.552028
-21.0,789,35.301166
-20.0,983,53.41823
-20.0,904,70.418292
-21.0,912,87.126988
-20.0,868,102.760171
-21.0,837,120.058594
-19.0,980,138.014229
-19.0,935,155.67012
-20.0,915,172.92515
-20.0,983,191.159523
-19.0,971,208.429675
-17.0,1243,232.033525
-20.0,875,248.043716
-21.0,967,266.011863
-20.0,1257,289.055783
-17.0,1299,313.790328
-20.0,833,328.860066
-20.0,1175,350.558256
-17.0,1577,380.23976
-20.0,1506,407.554739
-17.0,1794,440.873872
-15.0,2078,479.264797
-11.0,1939,515.321205
-19.0,1523,543.926354
-5.0,2258,585.405248
3.0,2651,633.965112
-18.0,1783,666.980312
-14.0,1959,703.553555
18.0,1726,735.186272
15.0,1962,771.703083
-15.0,1994,808.486
14.0,2089,847.409695
4.0,2918,901.441109
20.0,1562,930.577959
15.0,2030,968.23124
20.0,1563,997.121624
4.0,3021,1053.511116
18.0,1701,1085.145061
-3.0,2967,1139.246222
17.0,2061,1178.141012
