#{"t_start": 1528347289.3705986, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,907,13.763739
-19.0,976,22.111314
-20.0,835,29.453071
-21.0,818,36.212215
-20.0,1052,45.340879
-21.0,884,52.755229
-21.0,777,59.788011
-21.0,787,67.218955
-20.0,1041,77.047347
-18.0,1152,87.891135
-21.0,946,97.061928
-20.0,867,105.325706
-21.0,936,114.423678
-21.0,939,122.996903
-18.0,1053,132.953959
-21.0,967,142.289885
-20.0,908,150.417798
-21.0,850,158.572498
-21.0,819,166.015011
-19.0,962,175.260915
-20.0,1006,184.442633
-20.0,838,192.204028
-21.0,1111,201.958965
-20.0,851,209.348765
-19.0,971,218.949328
-21.0,857,226.917882
-20.0,1035,236.963907
-21.0,777,244.72999
-20.0,1012,254.063218
-18.0,1034,264.495473
-21.0,913,273.213277
-21.0,898,281.307382
-21.0,818,288.536925
-20.0,1070,298.21724
-20.0,976,306.973848
-19.0,1380,319.723783
-21.0,910,328.187165
-21.0,976,337.044119
-20.0,1019,346.397474
-20.0,1008,355.553364
-21.0,970,364.878858
-21.0,908,373.271338
-20.0,916,381.56071
-20.0,981,390.377739
-20.0,1163,400.316859
-20.0,977,408.539154
-20.0,1019,417.357959
-19.0,1289,428.38651
-21.0,1145,438.716439
-19.0,1074,448.084486
-19.0,1130,457.579763
-18.0,1385,469.60151
-20.0,1283,480.636102
-19.0,1119,490.693572
-20.0,976,500.098203
-19.0,1304,512.206563
-20.0,1239,523.253695
-19.0,1010,532.4677
-17.0,2183,552.369776
-19.0,2243,573.475791
-21.0,1733,588.289909
-20.0,2254,607.77017
-20.0,2504,629.433135
-19.0,3817,661.828977
-18.0,4145,697.142559
-20.0,4293,733.549826
-16.0,4486,772.032752
-20.0,6458,827.721555
-16.0,4259,864.815895
-14.0,5168,909.122755
-11.0,4771,950.463148
-17.0,4414,988.310572
-6.0,6070,1040.125106
-8.0,6040,1092.67091
-6.0,6085,1145.042325
3.0,6600,1203.746819
6.0,4771,1247.999163
-12.0,4904,1293.805486
-1.0,6424,1353.262263
11.0,4517,1396.926169
-2.0,6513,1458.042614
-9.0,4953,1503.927079
-5.0,6258,1562.566227
1.0,5345,1614.04299
6.0,4570,1658.273612
10.0,3901,1696.579329
15.0,4095,1736.02765
10.0,3619,1770.722068
16.0,2994,1799.609916
19.0,2659,1824.679188
21.0,1724,1841.497834
21.0,1670,1857.759684
16.0,2323,1880.86696
14.0,2655,1907.04002
18.0,1880,1925.172107
21.0,1669,1941.969198
21.0,1891,1960.615441
21.0,1836,1979.101408
20.0,2059,1999.627449
19.0,1983,2019.134923
20.0,1731,2036.262287
21.0,1680,2052.47003
21.0,1672,2069.151019
20.0,1730,2086.039391
18.0,2049,2106.149472
21.0,1667,2122.532933
21.0,1683,2138.951282
21.0,1667,2155.267439
21.0,1671,2171.787566
21.0,1670,2188.108687
21.0,1810,2206.387651
20.0,1732,2223.247811
21.0,1682,2239.569857
20.0,1696,2256.011549
21.0,1757,2273.25668
20.0,2012,2293.271054
21.0,1673,2310.099351
21.0,1838,2328.14499
21.0,1731,2345.302832
21.0,1673,2361.549642
21.0,1669,2378.327682
21.0,1684,2395.009285
19.0,2044,2415.722538
20.0,1739,2432.448616
21.0,1682,2449.700202
20.0,1809,2467.618136
8.0,3117,2498.691193
21.0,1761,2516.910329
21.0,1684,2534.084927
21.0,1668,2550.774149
21.0,1672,2567.558347
21.0,1760,2584.800386
21.0,1667,2600.31044
21.0,1677,2616.26051
21.0,1755,2632.781799
19.0,2198,2652.991563
20.0,1825,2669.83323
20.0,1740,2686.401423
21.0,1746,2702.171733
20.0,1811,2718.696736
20.0,1803,2735.066844
19.0,1949,2753.402687
20.0,1824,2770.189317
21.0,1671,2785.78049
21.0,1671,2801.536967
20.0,1805,2822.113231
20.0,1699,2844.789681
20.0,1738,2873.340835
21.0,1684,2899.879369
19.0,1834,2918.892241
21.0,1669,2954.817658
20.0,1736,2980.839869
21.0,1668,3007.241947
21.0,1682,3031.323254
21.0,1672,3047.068695
21.0,1684,3063.165027
19.0,1854,3081.018592
19.0,2017,3099.582031
21.0,1673,3115.144306
21.0,1682,3131.395029
20.0,1859,3148.622837
20.0,1808,3165.631242
20.0,1739,3182.152505
18.0,1870,3199.577096
21.0,1668,3215.160145
21.0,1731,3231.613992
21.0,1669,3247.425333
21.0,1683,3263.156856
21.0,1671,3278.880038
21.0,1755,3295.461422
21.0,1675,3311.184169
19.0,1780,3327.89049
21.0,1668,3343.73451
21.0,1672,3360.08302
21.0,1671,3376.97062
21.0,1760,3394.261814
21.0,1670,3410.116675
21.0,1673,3425.991122
21.0,1674,3441.792563
21.0,1675,3458.068932
21.0,1758,3474.466127
12.0,2219,3496.209394
1.0,2580,3521.094991
19.0,1856,3538.65149
18.0,1981,3558.024667
21.0,1684,3574.099698
19.0,2033,3593.864051
17.0,1964,3612.574168
20.0,1736,3629.698414
21.0,1672,3646.029225
